Crop_Type,Region,Soil_Type,Farming_Method,Fertilizer_Used,Area_Planted_Hectares,Yield_Tons_Per_Hectare,Total_Harvest_Tons,Rainfall_mm,Labor_Hours,Planting_Date,Harvest_Date
Barley,North,Clay,Organic,Nitrogen-based,417.01,3.78,1576.3,221.0,3744,2025-05-20,2025-09-01
Corn,East,Clay,Conventional,None,120.08,2.9,348.23,922.8,3990,2025-04-05,2025-08-19
Barley,North,Sandy,Conservation,Phosphorus-based,205.67,11.51,2367.26,232.5,2686,2025-05-06,2025-08-06
Soybeans,North,Silt,Organic,Compost,210.74,2.26,476.27,795.3,4409,2025-03-01,2025-08-20
Soybeans,West,Loam,Conservation,Phosphorus-based,489.33,3.59,1756.69,739.2,2208,2025-06-22,2025-10-17
Soybeans,South,Silt,Conservation,Nitrogen-based,98.64,5.15,508.0,1168.8,4893,2025-03-27,2025-06-27
Soybeans,East,Silt,Organic,Potassium-based,401.59,8.01,3216.74,684.2,3714,2025-06-25,2025-09-26
Wheat,Midwest,Loam,Organic,Potassium-based,173.75,7.22,1254.47,263.6,1342,2025-06-19,2025-12-13
Soybeans,Midwest,Sandy,Mixed,Compost,368.13,2.82,1038.13,751.7,2159,2025-04-09,2025-08-07
Rice,North,Silt,Mixed,Compost,215.81,4.54,979.78,1041.1,3586,2025-06-05,2025-10-17
Rice,West,Clay,Mixed,Potassium-based,293.4,4.01,1176.53,1196.8,4432,2025-05-23,2025-10-18
Wheat,West,Loam,Conservation,Compost,417.98,3.74,1563.25,630.3,3910,2025-03-14,2025-07-26
Soybeans,Midwest,Peat,Conservation,Phosphorus-based,404.04,5.82,2351.51,520.3,4000,2025-06-08,2025-11-19
Soybeans,East,Sandy,Mixed,None,434.55,8.89,3863.15,1106.7,2705,2025-05-08,2025-09-11
Soybeans,South,Loam,Conservation,None,39.21,3.78,148.21,391.2,4842,2025-05-26,2025-10-27
Barley,East,Peat,Conservation,Phosphorus-based,349.1,5.35,1867.68,815.4,3134,2025-06-17,2025-09-23
Corn,South,Peat,Organic,None,78.59,5.6,440.1,605.7,4668,2025-06-28,2025-10-12
Barley,Midwest,Silt,Organic,Nitrogen-based,213.75,11.75,2511.56,241.1,4307,2025-05-18,2025-10-19
Corn,South,Silt,Conservation,Phosphorus-based,278.81,11.52,3211.89,547.3,4151,2025-03-06,2025-06-06
Soybeans,West,Silt,Mixed,Compost,207.34,9.9,2052.67,465.2,3463,2025-04-02,2025-07-26
Soybeans,North,Loam,Conventional,Phosphorus-based,264.61,4.04,1069.02,886.1,4121,2025-04-24,2025-09-13
Barley,North,Loam,Mixed,Potassium-based,498.3,2.21,1101.24,1148.8,1945,2025-03-19,2025-07-17
Barley,Midwest,Sandy,Conventional,Compost,76.26,4.83,368.34,468.0,482,2025-05-16,2025-09-08
Corn,West,Silt,Mixed,Potassium-based,340.97,4.3,1466.17,1011.5,4212,2025-03-29,2025-07-19
Rice,East,Peat,Organic,Compost,204.04,6.81,1389.51,255.4,4688,2025-04-30,2025-08-27
Corn,West,Clay,Conservation,None,75.17,9.67,726.89,738.1,3910,2025-05-09,2025-08-16
Barley,North,Sandy,Conservation,Phosphorus-based,87.78,10.51,922.57,270.6,1996,2025-05-18,2025-10-26
Barley,North,Loam,Organic,Nitrogen-based,475.14,10.37,4927.2,1134.0,1609,2025-05-19,2025-11-13
Wheat,West,Sandy,Conventional,Compost,441.0,5.28,2328.48,966.4,4312,2025-03-24,2025-08-24
Barley,West,Sandy,Conventional,Compost,454.45,8.72,3962.8,857.9,1678,2025-03-23,2025-07-12
Wheat,North,Sandy,Conventional,Potassium-based,495.85,4.78,2370.16,1023.9,979,2025-06-20,2025-10-02
Rice,East,Sandy,Organic,None,112.07,2.14,239.83,847.5,2262,2025-03-10,2025-08-02
Corn,Midwest,Clay,Conventional,Potassium-based,184.17,8.87,1633.59,1168.9,1672,2025-04-23,2025-10-03
Corn,Midwest,Silt,Organic,Potassium-based,337.92,1.6,540.67,914.0,1748,2025-06-13,2025-09-30
Wheat,West,Peat,Mixed,None,247.06,5.8,1432.95,1124.7,4839,2025-04-10,2025-08-24
Corn,Midwest,Sandy,Mixed,Nitrogen-based,215.01,4.96,1066.45,717.1,1459,2025-04-18,2025-10-11
Barley,North,Sandy,Organic,Potassium-based,185.33,8.78,1627.2,317.1,4531,2025-03-17,2025-08-06
Soybeans,North,Sandy,Conservation,Potassium-based,300.95,9.55,2874.07,728.2,3069,2025-06-21,2025-11-10
Wheat,West,Silt,Mixed,Compost,292.04,4.69,1369.67,326.9,4060,2025-04-25,2025-07-24
Corn,West,Loam,Conventional,None,89.11,10.02,892.88,792.5,3911,2025-06-16,2025-09-15
Wheat,West,Loam,Organic,Phosphorus-based,241.15,4.59,1106.88,682.5,4342,2025-04-14,2025-09-08
Wheat,East,Clay,Conventional,Nitrogen-based,281.2,6.19,1740.63,822.6,4317,2025-03-30,2025-07-16
Soybeans,Midwest,Loam,Conventional,Nitrogen-based,289.44,9.13,2642.59,210.0,180,2025-04-13,2025-09-11
Barley,West,Sandy,Conservation,None,112.95,8.78,991.7,394.8,2832,2025-06-18,2025-12-02
Wheat,South,Sandy,Conventional,Compost,373.71,11.87,4435.94,691.3,2809,2025-05-13,2025-10-21
Corn,South,Sandy,Conservation,Compost,22.35,3.86,86.27,1150.5,2522,2025-04-24,2025-08-03
Rice,North,Clay,Mixed,None,183.87,8.45,1553.7,583.6,3741,2025-03-19,2025-07-12
Wheat,Midwest,Sandy,Organic,Compost,392.3,7.9,3099.17,624.4,4699,2025-03-29,2025-07-23
Wheat,West,Loam,Conventional,Nitrogen-based,286.31,11.11,3180.9,914.7,767,2025-03-02,2025-06-28
Soybeans,South,Silt,Organic,Nitrogen-based,137.97,3.14,433.23,803.8,2596,2025-04-05,2025-07-18
Barley,Midwest,Silt,Conventional,Phosphorus-based,350.53,9.39,3291.48,498.9,3599,2025-03-19,2025-08-01
Rice,North,Peat,Organic,None,288.02,7.47,2151.51,610.8,3598,2025-03-07,2025-06-05
Corn,East,Loam,Conventional,Potassium-based,400.16,4.38,1752.7,417.7,1544,2025-03-26,2025-08-22
Rice,Midwest,Sandy,Conventional,Potassium-based,370.16,6.48,2398.64,1166.0,1445,2025-05-18,2025-10-11
Corn,Midwest,Silt,Conventional,Phosphorus-based,308.95,5.0,1544.75,330.6,1289,2025-06-19,2025-09-19
Barley,East,Loam,Conventional,Phosphorus-based,249.21,7.58,1889.01,571.8,558,2025-06-28,2025-10-13
Corn,Midwest,Silt,Conventional,Compost,75.26,10.83,815.07,225.8,1312,2025-04-07,2025-08-26
Soybeans,North,Sandy,Conventional,Phosphorus-based,138.05,7.48,1032.61,421.8,4659,2025-03-03,2025-07-30
Soybeans,North,Silt,Conventional,Phosphorus-based,215.36,8.13,1750.88,980.5,1011,2025-06-10,2025-10-11
Soybeans,East,Peat,Conventional,Potassium-based,303.66,6.95,2110.44,401.2,1125,2025-05-19,2025-11-13
Soybeans,West,Peat,Conventional,Compost,261.72,2.04,533.91,280.1,2511,2025-05-05,2025-10-01
Rice,South,Silt,Organic,Phosphorus-based,151.21,3.95,597.28,674.5,171,2025-06-03,2025-09-26
Barley,West,Loam,Conservation,Phosphorus-based,13.17,6.67,87.84,210.0,2785,2025-05-31,2025-11-08
Corn,Midwest,Loam,Conventional,Compost,253.16,4.76,1205.04,284.8,1293,2025-05-10,2025-08-26
Corn,South,Loam,Conservation,None,149.96,3.41,511.36,1007.6,1948,2025-06-02,2025-09-21
Soybeans,East,Silt,Conventional,Compost,369.96,6.79,2512.03,971.5,2484,2025-04-12,2025-08-12
Soybeans,East,Loam,Conventional,Potassium-based,21.73,4.89,106.26,1115.1,2122,2025-05-01,2025-09-05
Wheat,South,Sandy,Organic,None,296.57,4.21,1248.56,1054.5,3841,2025-05-10,2025-09-11
Barley,North,Peat,Mixed,Nitrogen-based,471.32,6.37,3002.31,883.2,4848,2025-06-08,2025-11-11
Rice,South,Sandy,Mixed,Compost,95.46,2.9,276.83,252.3,1398,2025-06-01,2025-11-20
Corn,Midwest,Loam,Organic,Potassium-based,241.11,11.24,2710.08,982.8,4202,2025-03-24,2025-07-01
Wheat,North,Sandy,Conservation,None,54.8,10.61,581.43,1045.5,1004,2025-06-24,2025-10-06
Wheat,East,Loam,Mixed,Compost,316.58,8.93,2827.06,999.1,3126,2025-04-08,2025-07-17
Corn,South,Silt,Organic,Phosphorus-based,279.76,2.62,732.97,708.5,2128,2025-05-07,2025-11-02
Rice,West,Sandy,Organic,Compost,209.61,9.65,2022.74,432.9,4811,2025-06-01,2025-09-22
Wheat,West,Silt,Mixed,Nitrogen-based,265.47,9.98,2649.39,1045.3,2720,2025-04-13,2025-09-26
Wheat,Midwest,Silt,Conservation,Compost,449.32,9.56,4295.5,927.2,2746,2025-03-05,2025-06-06
Barley,West,Clay,Organic,None,106.18,2.7,286.69,1180.8,4965,2025-04-24,2025-08-04
Rice,South,Loam,Conventional,None,21.06,8.26,173.96,355.7,2389,2025-06-01,2025-11-10
Wheat,South,Peat,Conservation,Compost,432.22,10.26,4434.58,425.7,3972,2025-03-30,2025-08-23
Rice,West,Loam,Conservation,None,292.79,7.56,2213.49,411.8,1585,2025-03-29,2025-08-02
Corn,South,Peat,Mixed,Phosphorus-based,446.42,8.29,3700.82,992.5,3251,2025-03-26,2025-08-10
Soybeans,Midwest,Loam,Mixed,Compost,302.5,6.31,1908.78,386.9,1540,2025-05-22,2025-10-29
Wheat,North,Silt,Conventional,Phosphorus-based,406.98,7.05,2869.21,266.7,865,2025-03-26,2025-06-24
Barley,Midwest,Sandy,Organic,Phosphorus-based,220.54,1.86,410.2,1198.6,4579,2025-04-06,2025-09-02
Corn,Midwest,Sandy,Mixed,Potassium-based,377.43,8.21,3098.7,224.8,2538,2025-05-30,2025-09-08
Rice,South,Clay,Mixed,Compost,457.39,2.36,1079.44,1035.2,4192,2025-06-02,2025-09-20
Corn,North,Peat,Conservation,None,290.34,6.07,1762.36,565.4,4883,2025-06-23,2025-10-01
Wheat,South,Peat,Mixed,Phosphorus-based,98.58,4.57,450.51,1041.6,1249,2025-04-22,2025-09-02
Rice,East,Peat,Mixed,Potassium-based,141.71,7.23,1024.56,754.6,3665,2025-03-30,2025-08-24
Soybeans,South,Silt,Mixed,Compost,107.34,2.9,311.29,1101.6,4242,2025-03-03,2025-07-14
Corn,South,Peat,Mixed,Compost,130.96,8.76,1147.21,1126.2,2072,2025-04-12,2025-09-26
Wheat,South,Sandy,Conservation,Nitrogen-based,160.14,9.85,1577.38,209.1,2766,2025-03-07,2025-07-08
Barley,North,Silt,Conventional,Nitrogen-based,282.02,3.22,908.1,275.4,563,2025-04-18,2025-08-10
Rice,South,Loam,Conventional,Phosphorus-based,298.12,2.6,775.11,450.4,4318,2025-06-29,2025-09-30
Corn,North,Peat,Organic,Nitrogen-based,218.98,3.03,663.51,869.3,2281,2025-05-12,2025-10-12
Corn,West,Peat,Mixed,Phosphorus-based,311.56,10.71,3336.81,1088.3,1742,2025-06-25,2025-12-21
Soybeans,East,Loam,Conservation,None,49.97,7.05,352.29,659.9,3988,2025-04-10,2025-07-24
Soybeans,North,Peat,Organic,Phosphorus-based,53.02,6.41,339.86,807.0,940,2025-06-14,2025-09-21
Barley,West,Loam,Organic,Nitrogen-based,94.2,2.62,246.8,388.5,2754,2025-05-16,2025-10-18
Barley,North,Silt,Conventional,None,263.86,8.32,2195.32,1005.0,4218,2025-05-18,2025-09-19
Wheat,North,Sandy,Conservation,Nitrogen-based,114.86,10.61,1218.66,1167.3,665,2025-04-23,2025-10-12
Wheat,East,Loam,Conservation,Phosphorus-based,148.81,10.2,1517.86,468.6,1064,2025-05-08,2025-08-11
Barley,Midwest,Clay,Conservation,Potassium-based,206.15,8.07,1663.63,694.8,2382,2025-06-01,2025-09-17
Barley,Midwest,Loam,Conventional,Compost,407.81,2.29,933.88,286.1,1095,2025-06-07,2025-11-02
Rice,North,Peat,Conventional,Nitrogen-based,16.79,2.68,45.0,759.1,1287,2025-05-30,2025-10-19
Soybeans,South,Silt,Conventional,Phosphorus-based,328.2,2.02,662.96,702.8,4411,2025-03-27,2025-07-02
Wheat,West,Silt,Conventional,None,337.75,4.2,1418.55,344.4,3354,2025-03-08,2025-08-22
Soybeans,South,Loam,Conventional,Nitrogen-based,401.34,2.92,1171.91,642.1,756,2025-04-01,2025-07-09
Soybeans,South,Sandy,Mixed,Nitrogen-based,467.05,4.23,1975.62,534.1,3082,2025-05-23,2025-10-26
Barley,North,Clay,Mixed,Compost,19.87,5.54,110.08,721.8,1213,2025-05-03,2025-09-07
Rice,North,Silt,Conservation,Phosphorus-based,85.35,11.4,972.99,785.7,4506,2025-03-10,2025-07-06
Corn,North,Peat,Organic,Potassium-based,444.22,7.91,3513.78,208.5,656,2025-03-13,2025-06-25
Rice,North,Peat,Conservation,None,234.67,10.27,2410.06,961.0,3119,2025-05-02,2025-10-25
Rice,Midwest,Sandy,Organic,Phosphorus-based,286.65,8.96,2568.38,913.0,2404,2025-06-01,2025-09-21
Soybeans,North,Silt,Conventional,None,334.88,2.68,897.48,566.3,2680,2025-04-04,2025-09-22
Rice,Midwest,Loam,Organic,Nitrogen-based,342.74,9.23,3163.49,252.9,151,2025-04-30,2025-09-12
Wheat,Midwest,Peat,Conservation,Compost,466.55,4.39,2048.15,954.9,1461,2025-04-23,2025-10-12
Soybeans,North,Sandy,Conservation,Compost,498.51,8.21,4092.77,1155.2,1294,2025-03-08,2025-07-03
Wheat,East,Silt,Organic,Potassium-based,362.88,5.08,1843.43,440.2,4119,2025-03-29,2025-07-22
Corn,West,Silt,Mixed,Compost,150.74,11.98,1805.87,523.5,3238,2025-06-03,2025-09-10
Soybeans,South,Silt,Conventional,Nitrogen-based,441.08,4.27,1883.41,383.8,1748,2025-04-10,2025-08-24
Corn,Midwest,Silt,Conventional,Potassium-based,34.12,4.43,151.15,776.9,771,2025-03-30,2025-07-01
Soybeans,West,Silt,Conservation,Phosphorus-based,123.23,11.27,1388.8,354.8,877,2025-05-25,2025-10-16
Barley,East,Peat,Mixed,Compost,449.72,1.76,791.51,556.2,2379,2025-03-21,2025-08-23
Rice,South,Sandy,Organic,Potassium-based,135.53,8.82,1195.37,897.0,3122,2025-05-15,2025-10-18
Barley,South,Silt,Conventional,Nitrogen-based,118.12,9.12,1077.25,760.1,1960,2025-03-11,2025-06-15
Corn,Midwest,Clay,Mixed,None,77.68,10.28,798.55,586.5,3239,2025-03-02,2025-07-24
Rice,North,Clay,Conventional,None,430.96,11.73,5055.16,620.2,1174,2025-04-19,2025-10-05
Soybeans,East,Sandy,Mixed,Nitrogen-based,255.03,11.74,2994.05,762.1,1816,2025-04-10,2025-08-08
Rice,Midwest,Loam,Mixed,Nitrogen-based,340.7,2.19,746.13,205.9,1383,2025-05-05,2025-10-15
Wheat,East,Loam,Conservation,None,127.14,10.13,1287.93,278.5,4786,2025-06-06,2025-09-22
Rice,North,Loam,Conventional,Potassium-based,381.44,8.29,3162.14,1081.3,2086,2025-03-03,2025-06-28
Wheat,North,Clay,Organic,None,382.4,8.3,3173.92,277.9,2733,2025-05-19,2025-11-05
Rice,Midwest,Loam,Conservation,Nitrogen-based,163.17,2.85,465.03,906.8,1101,2025-04-20,2025-08-15
Wheat,North,Peat,Conservation,Compost,211.23,8.33,1759.55,1120.0,1146,2025-05-07,2025-08-23
Corn,West,Silt,Organic,Phosphorus-based,112.75,11.82,1332.7,470.7,2276,2025-05-26,2025-11-18
Barley,South,Clay,Conservation,Compost,488.51,11.07,5407.81,570.5,2438,2025-06-29,2025-10-16
Soybeans,Midwest,Sandy,Mixed,Compost,326.35,6.11,1994.0,768.9,1955,2025-06-22,2025-10-02
Rice,East,Sandy,Mixed,Nitrogen-based,467.93,1.92,898.43,1081.7,600,2025-05-23,2025-11-05
Barley,West,Silt,Conventional,None,158.66,5.3,840.9,1141.9,2333,2025-03-25,2025-08-04
Soybeans,Midwest,Clay,Conventional,Potassium-based,393.13,10.18,4002.06,939.6,4674,2025-03-30,2025-07-08
Soybeans,North,Loam,Organic,Compost,385.27,8.87,3417.34,286.6,2639,2025-05-21,2025-10-05
Wheat,North,Loam,Conventional,None,348.91,6.32,2205.11,869.2,4708,2025-06-14,2025-09-26
Corn,North,Peat,Mixed,Potassium-based,483.16,2.08,1004.97,610.3,3814,2025-03-11,2025-06-25
Corn,North,Peat,Organic,Compost,202.84,5.98,1212.98,670.7,2432,2025-06-01,2025-10-22
Barley,East,Loam,Organic,Potassium-based,74.05,6.42,475.4,249.1,700,2025-03-17,2025-08-03
Corn,West,Sandy,Conventional,None,339.14,11.25,3815.32,391.1,4384,2025-03-26,2025-07-21
Rice,South,Sandy,Mixed,Phosphorus-based,367.36,8.23,3023.37,990.5,1088,2025-06-28,2025-12-17
Corn,East,Peat,Organic,None,291.78,4.77,1391.79,654.0,1981,2025-06-29,2025-09-30
Barley,East,Silt,Mixed,Nitrogen-based,111.34,7.02,781.61,501.7,4583,2025-03-23,2025-07-12
Corn,South,Loam,Mixed,Potassium-based,257.18,2.19,563.22,584.0,1854,2025-04-25,2025-10-17
Rice,South,Peat,Mixed,Phosphorus-based,162.97,11.71,1908.38,1054.4,2564,2025-04-21,2025-08-27
Wheat,North,Peat,Conventional,Potassium-based,219.46,5.28,1158.75,949.0,2323,2025-04-17,2025-08-18
Barley,East,Loam,Conservation,Potassium-based,326.16,6.52,2126.56,472.3,4582,2025-03-20,2025-07-31
Wheat,Midwest,Loam,Conservation,Compost,375.16,5.23,1962.09,317.5,1594,2025-06-17,2025-10-26
Wheat,South,Sandy,Organic,Nitrogen-based,123.79,8.67,1073.26,452.0,952,2025-03-02,2025-07-09
Wheat,South,Silt,Mixed,Potassium-based,208.61,8.45,1762.75,1120.8,551,2025-05-27,2025-09-05
Soybeans,West,Silt,Conventional,None,141.89,9.01,1278.43,781.6,2424,2025-03-31,2025-06-30
Soybeans,Midwest,Loam,Mixed,None,107.33,4.32,463.67,733.5,1858,2025-03-27,2025-07-22
Wheat,Midwest,Clay,Mixed,Compost,393.86,4.81,1894.47,796.4,4408,2025-03-02,2025-08-12
Barley,South,Peat,Conventional,Nitrogen-based,455.53,2.82,1284.59,566.0,3453,2025-06-29,2025-12-21
Rice,North,Peat,Conservation,Nitrogen-based,191.41,8.38,1604.02,1007.1,4236,2025-05-17,2025-11-03
Rice,West,Loam,Mixed,None,378.13,1.92,726.01,723.3,4795,2025-03-04,2025-08-30
Corn,Midwest,Clay,Mixed,Phosphorus-based,449.53,7.78,3497.34,316.7,3438,2025-06-21,2025-11-24
Barley,South,Sandy,Conservation,Compost,424.6,10.63,4513.5,329.1,2688,2025-03-13,2025-08-20
Soybeans,Midwest,Loam,Conventional,Compost,99.58,10.85,1080.44,736.9,1882,2025-06-08,2025-11-16
Wheat,West,Loam,Organic,None,478.58,6.21,2971.98,1136.6,3620,2025-04-04,2025-09-24
Corn,West,Peat,Conservation,None,194.57,6.32,1229.68,508.4,1879,2025-06-16,2025-11-28
Rice,East,Loam,Organic,Phosphorus-based,176.23,2.31,407.09,1069.5,3232,2025-06-26,2025-12-13
Soybeans,South,Loam,Organic,Phosphorus-based,40.59,8.54,346.64,964.1,3673,2025-06-27,2025-10-04
Soybeans,West,Loam,Conservation,Nitrogen-based,248.23,10.12,2512.09,447.8,3318,2025-05-11,2025-11-02
Wheat,East,Peat,Mixed,Compost,63.42,4.07,258.12,236.3,3857,2025-05-05,2025-09-28
Rice,East,Sandy,Organic,Compost,131.78,5.92,780.14,301.8,4116,2025-03-06,2025-08-28
Barley,Midwest,Sandy,Organic,None,165.3,10.31,1704.24,928.5,2937,2025-03-31,2025-08-04
Soybeans,Midwest,Loam,Conventional,Nitrogen-based,406.32,10.71,4351.69,399.7,2481,2025-06-26,2025-12-09
Wheat,East,Peat,Mixed,Compost,438.99,4.05,1777.91,571.3,4339,2025-03-10,2025-08-10
Barley,Midwest,Sandy,Organic,Nitrogen-based,158.21,7.28,1151.77,701.7,4036,2025-06-16,2025-12-01
Rice,West,Sandy,Conventional,Nitrogen-based,430.76,3.52,1516.28,925.5,4528,2025-03-21,2025-09-12
Soybeans,North,Sandy,Mixed,None,430.04,2.57,1105.2,313.2,1519,2025-06-14,2025-10-21
Barley,West,Peat,Conservation,Nitrogen-based,384.68,11.07,4258.41,606.4,4250,2025-05-13,2025-10-09
Barley,East,Peat,Conservation,Phosphorus-based,81.88,10.12,828.63,685.1,1430,2025-03-23,2025-08-07
Barley,East,Loam,Conventional,Phosphorus-based,348.26,9.48,3301.5,740.8,3017,2025-03-03,2025-06-19
Soybeans,West,Silt,Conservation,Potassium-based,473.06,2.01,950.85,1018.4,1546,2025-04-01,2025-09-09
Soybeans,Midwest,Sandy,Organic,None,344.44,10.36,3568.4,371.7,1540,2025-03-20,2025-07-20
Corn,Midwest,Silt,Mixed,Potassium-based,172.49,6.1,1052.19,1007.8,3844,2025-05-13,2025-09-23
Rice,East,Peat,Organic,Phosphorus-based,255.28,5.1,1301.93,892.9,2944,2025-03-29,2025-08-02
Wheat,South,Peat,Organic,Potassium-based,326.41,7.24,2363.21,755.9,4275,2025-06-13,2025-12-08
Barley,Midwest,Peat,Conservation,None,260.18,2.46,640.04,899.5,964,2025-04-21,2025-08-24
Corn,West,Silt,Organic,None,68.78,9.44,649.28,612.0,571,2025-06-23,2025-12-10
Wheat,Midwest,Peat,Conservation,Nitrogen-based,162.91,7.62,1241.37,338.4,1602,2025-04-15,2025-10-09
Corn,West,Loam,Mixed,Compost,403.17,3.46,1394.97,865.8,4784,2025-04-03,2025-07-22
Soybeans,East,Peat,Mixed,Nitrogen-based,432.09,3.48,1503.67,724.7,1510,2025-06-09,2025-09-08
Barley,Midwest,Clay,Organic,None,77.28,3.43,265.07,839.4,3870,2025-05-23,2025-09-20
Wheat,West,Silt,Conventional,Phosphorus-based,476.67,2.1,1001.01,538.0,2005,2025-04-30,2025-08-27
Wheat,East,Clay,Conservation,Phosphorus-based,171.12,7.67,1312.49,1106.9,4759,2025-05-11,2025-10-23
Wheat,South,Peat,Conservation,Nitrogen-based,334.53,10.32,3452.35,787.4,4101,2025-05-10,2025-09-20
Wheat,West,Loam,Organic,None,378.39,1.68,635.7,285.4,3604,2025-05-09,2025-08-18
Wheat,South,Sandy,Conservation,Phosphorus-based,407.85,2.01,819.78,649.8,3583,2025-03-11,2025-07-29
Corn,South,Peat,Conservation,None,473.42,7.51,3555.38,956.4,4662,2025-06-16,2025-11-01
Barley,North,Loam,Conventional,Phosphorus-based,163.33,10.1,1649.63,994.1,698,2025-05-21,2025-09-11
Soybeans,Midwest,Silt,Conventional,None,430.67,4.93,2123.2,694.6,1091,2025-06-23,2025-10-14
Soybeans,West,Clay,Organic,Potassium-based,74.53,5.17,385.32,1094.7,2032,2025-06-14,2025-11-10
Soybeans,South,Clay,Conventional,None,355.47,7.76,2758.45,467.7,2884,2025-06-29,2025-10-07
Soybeans,North,Clay,Organic,None,373.57,4.38,1636.24,610.6,3141,2025-06-01,2025-09-11
Corn,East,Silt,Mixed,Nitrogen-based,342.08,1.78,608.9,1098.6,166,2025-05-28,2025-11-05
Rice,West,Loam,Organic,Potassium-based,133.63,9.22,1232.07,1096.3,3498,2025-05-02,2025-10-12
Barley,South,Silt,Mixed,Compost,437.79,8.07,3532.97,885.7,2850,2025-03-21,2025-08-29
Wheat,Midwest,Clay,Organic,Nitrogen-based,92.74,7.6,704.82,1059.0,569,2025-06-18,2025-11-18
Rice,North,Peat,Conservation,Compost,36.28,9.29,337.04,288.8,1824,2025-03-03,2025-06-20
Soybeans,South,Sandy,Conventional,Phosphorus-based,361.56,8.59,3105.8,1065.0,4085,2025-05-21,2025-10-29
Rice,Midwest,Silt,Mixed,Compost,242.98,3.66,889.31,520.6,1731,2025-05-27,2025-11-05
Barley,South,Silt,Organic,None,426.06,5.2,2215.51,378.3,874,2025-06-19,2025-11-26
Wheat,West,Loam,Conventional,Compost,197.86,2.82,557.97,439.4,3112,2025-06-10,2025-11-24
Wheat,West,Loam,Organic,Nitrogen-based,92.46,2.86,264.44,618.0,2603,2025-03-10,2025-07-05
Barley,West,Silt,Conventional,Nitrogen-based,419.86,8.6,3610.8,451.2,1586,2025-03-27,2025-06-26
Barley,North,Clay,Conventional,Compost,278.97,10.52,2934.76,520.6,4119,2025-03-12,2025-07-22
Soybeans,West,Sandy,Organic,Nitrogen-based,102.71,11.61,1192.46,335.0,4327,2025-03-07,2025-06-12
Wheat,Midwest,Loam,Mixed,Nitrogen-based,362.99,8.1,2940.22,496.2,1029,2025-03-17,2025-06-27
Rice,South,Clay,Mixed,Compost,260.45,3.43,893.34,772.3,3112,2025-05-04,2025-10-25
Corn,East,Peat,Conservation,Potassium-based,306.11,2.61,798.95,641.9,1605,2025-05-03,2025-09-04
Corn,Midwest,Loam,Conventional,Potassium-based,235.84,10.03,2365.48,546.7,4829,2025-06-22,2025-10-12
Barley,Midwest,Clay,Conservation,Phosphorus-based,416.07,7.58,3153.81,946.5,3044,2025-03-26,2025-08-08
Soybeans,West,Clay,Conservation,Nitrogen-based,416.49,7.99,3327.76,1093.5,2919,2025-03-15,2025-06-27
Corn,North,Sandy,Organic,Compost,357.6,9.71,3472.3,956.8,1284,2025-06-23,2025-09-22
Wheat,South,Sandy,Organic,Nitrogen-based,61.65,8.88,547.45,532.0,388,2025-04-02,2025-08-30
Barley,North,Peat,Organic,None,421.04,10.26,4319.87,944.4,1911,2025-05-01,2025-10-13
Rice,South,Clay,Conventional,Nitrogen-based,338.8,2.09,708.09,352.0,627,2025-06-09,2025-11-09
Barley,South,Clay,Organic,Nitrogen-based,351.54,9.35,3286.9,330.3,1016,2025-04-16,2025-09-04
Rice,North,Sandy,Organic,Potassium-based,187.86,10.43,1959.38,545.6,1808,2025-06-03,2025-10-06
Barley,Midwest,Loam,Conventional,Compost,440.85,4.5,1983.82,1007.7,3674,2025-04-04,2025-09-07
Barley,South,Loam,Conventional,Nitrogen-based,365.43,8.22,3003.83,446.3,3419,2025-05-04,2025-10-09
Barley,North,Silt,Mixed,Potassium-based,65.17,4.8,312.82,263.3,1506,2025-05-11,2025-10-14
Rice,South,Sandy,Organic,Phosphorus-based,209.81,11.56,2425.4,331.7,1341,2025-05-15,2025-09-28
Rice,East,Silt,Organic,Potassium-based,444.33,1.85,822.01,1058.7,3233,2025-06-26,2025-12-15
Barley,Midwest,Sandy,Organic,Potassium-based,33.13,7.59,251.46,833.8,898,2025-06-29,2025-09-28
Corn,West,Peat,Mixed,Potassium-based,481.09,3.25,1563.54,453.2,1623,2025-05-22,2025-10-02
Soybeans,South,Clay,Organic,Nitrogen-based,342.79,8.98,3078.25,755.3,4207,2025-03-25,2025-08-25
Soybeans,East,Peat,Mixed,Nitrogen-based,319.37,3.35,1069.89,727.6,2988,2025-04-26,2025-10-13
Soybeans,West,Sandy,Conservation,Phosphorus-based,142.57,3.97,566.0,855.4,2790,2025-04-01,2025-09-15
Rice,West,Clay,Mixed,None,131.91,6.69,882.48,433.2,4191,2025-05-02,2025-08-27
Rice,South,Loam,Conservation,None,471.61,11.11,5239.59,1064.4,1341,2025-03-12,2025-08-02
Corn,North,Loam,Organic,None,156.15,3.72,580.88,509.4,790,2025-05-02,2025-10-12
Soybeans,South,Silt,Conservation,Phosphorus-based,390.0,3.01,1173.9,894.1,627,2025-05-16,2025-10-19
Soybeans,East,Sandy,Mixed,None,202.63,9.47,1918.91,216.1,1595,2025-05-31,2025-10-03
Barley,West,Sandy,Conventional,None,78.23,6.76,528.83,572.7,3925,2025-03-01,2025-07-31
Rice,South,Loam,Conservation,Potassium-based,15.25,11.07,168.82,551.7,2993,2025-04-20,2025-08-12
