Shipment_Status,Transport_Mode,Package_Type,Delivery_Region,Payment_Status,Shipment_ID,Package_Weight_kg,Shipping_Cost,Delivery_Distance_km,Quantity,Order_Date,Delivery_Date
Delayed,Train,Crate,International,Pending,6880,23.5,441.37,4305,756,1/20/2020,8/22/2021
In Transit,Airplane,Box,International,Overdue,1385,80.6,282.84,298,938,4/14/2021,10/28/2022
Delivered,Airplane,Crate,Local,Paid,5290,23.6,225.52,2588,140,7/29/2021,8/25/2020
Delivered,Ship,Crate,International,Pending,4406,26.0,362.47,1776,791,12/15/2021,2/1/2022
Out for Delivery,Airplane,Envelope,International,Pending,3898,97.5,959.71,2487,727,5/3/2021,3/24/2022
Delivered,Airplane,Pallet,International,Paid,6724,36.0,75.68,2242,157,3/7/2020,10/29/2020
Out for Delivery,Ship,Box,Local,Overdue,5625,3.7,823.08,2342,133,9/5/2021,12/30/2020
Delivered,Train,Pallet,International,Overdue,4597,64.6,216.48,3688,385,2/23/2021,11/3/2021
Delivered,Airplane,Envelope,Local,Overdue,3351,1.2,551.59,1984,983,2/23/2021,9/30/2021
Delayed,Ship,Envelope,National,Pending,3444,20.9,687.73,3458,423,2/26/2022,8/8/2020
Out for Delivery,Airplane,Envelope,Local,Pending,3540,64.3,428.56,2746,899,4/15/2021,3/1/2021
Delivered,Train,Box,Local,Paid,6347,31.0,353.14,4080,833,12/20/2022,2/16/2022
Out for Delivery,Airplane,Envelope,Local,Paid,9163,10.2,964.65,4932,740,3/1/2020,8/9/2022
Out for Delivery,Airplane,Envelope,National,Overdue,3506,46.3,162.63,1698,123,11/21/2020,1/6/2020
Out for Delivery,Airplane,Crate,Local,Pending,3776,58.0,249.57,305,980,6/26/2020,5/11/2020
Out for Delivery,Ship,Pallet,National,Paid,8670,50.0,848.8,1808,974,11/8/2022,2/10/2022
Delayed,Train,Envelope,National,Paid,1634,2.7,712.97,3732,815,5/18/2020,12/11/2021
Delayed,Airplane,Envelope,National,Paid,6783,53.0,515.35,2107,534,9/1/2021,5/18/2021
In Transit,Ship,Envelope,Local,Pending,1476,75.9,363.83,1678,672,7/15/2021,9/21/2022
Delayed,Truck,Box,National,Pending,5523,84.0,280.33,1264,949,11/29/2020,1/8/2020
Out for Delivery,Train,Crate,Local,Paid,8877,7.9,327.56,4468,226,4/28/2020,4/21/2022
Out for Delivery,Truck,Pallet,International,Overdue,1460,75.6,511.04,3312,835,6/27/2022,12/14/2020
Delayed,Airplane,Envelope,National,Pending,8486,55.7,58.21,3022,340,2/4/2022,2/19/2020
Delivered,Train,Crate,National,Paid,7026,80.2,473.46,4355,843,7/14/2020,8/21/2022
In Transit,Ship,Crate,National,Paid,4318,70.0,114.41,2395,972,6/15/2022,7/14/2020
In Transit,Truck,Pallet,Local,Pending,7029,47.3,301.2,3511,514,3/1/2020,2/2/2020
Delayed,Truck,Pallet,Local,Paid,9372,86.6,5.89,2557,972,12/17/2022,8/31/2020
Delayed,Ship,Box,Local,Pending,8901,63.2,573.9,1857,938,9/8/2022,6/4/2022
Out for Delivery,Airplane,Crate,National,Overdue,2606,12.6,877.14,3659,188,7/4/2020,7/16/2022
Out for Delivery,Ship,Crate,Local,Pending,8408,68.8,276.39,960,720,4/27/2021,5/10/2022
In Transit,Ship,Pallet,International,Overdue,8103,58.7,418.16,2610,801,12/28/2020,11/11/2021
Delivered,Airplane,Envelope,Local,Paid,1908,95.3,750.65,838,686,8/5/2022,8/19/2022
Out for Delivery,Train,Envelope,National,Paid,6371,30.5,268.01,2970,197,1/8/2021,2/8/2020
Delivered,Train,Envelope,Local,Pending,5843,66.0,790.93,3918,7,7/19/2021,9/26/2021
In Transit,Truck,Crate,Local,Paid,4240,76.5,448.29,3761,525,10/31/2022,6/20/2022
In Transit,Ship,Pallet,International,Overdue,3989,48.7,375.61,3821,892,12/1/2021,5/23/2022
Out for Delivery,Airplane,Box,Local,Paid,1009,3.5,500.52,4761,414,6/7/2022,6/7/2021
Delayed,Ship,Envelope,National,Paid,2894,43.2,320.32,1349,166,3/5/2021,8/16/2022
Delayed,Airplane,Pallet,Local,Pending,6138,24.2,324.63,2651,831,7/19/2021,2/26/2021
Delayed,Train,Crate,National,Paid,4162,87.2,392.48,842,139,2/6/2022,10/26/2021
Out for Delivery,Airplane,Pallet,National,Overdue,9009,2.6,687.67,2636,901,9/26/2020,12/10/2020
Delayed,Truck,Pallet,National,Paid,5723,45.8,500.05,3095,661,8/4/2020,11/30/2020
In Transit,Train,Crate,Local,Pending,4333,77.7,626.52,3519,762,8/25/2020,4/12/2021
Delayed,Train,Crate,Local,Pending,1893,82.6,555.59,3696,94,1/3/2020,3/31/2021
Delivered,Ship,Pallet,National,Pending,4963,26.1,896.26,2560,543,11/28/2020,8/31/2020
In Transit,Truck,Pallet,National,Overdue,3823,54.9,82.36,620,697,5/15/2021,1/10/2022
In Transit,Airplane,Pallet,International,Pending,7115,3.9,428.55,3503,146,11/26/2022,10/22/2021
Out for Delivery,Ship,Crate,Local,Paid,8750,47.7,217.86,766,302,8/26/2022,1/6/2020
Delayed,Airplane,Crate,Local,Overdue,9163,63.0,272.27,1224,133,8/26/2021,1/7/2020
Delivered,Train,Pallet,Local,Paid,3974,5.8,680.4,771,121,8/15/2022,10/20/2022
Out for Delivery,Truck,Crate,National,Paid,4532,51.1,312.48,1577,632,10/3/2020,10/18/2022
Delayed,Train,Crate,International,Paid,2520,83.3,218.07,4830,362,11/30/2022,2/10/2021
Out for Delivery,Airplane,Pallet,National,Paid,5992,52.0,536.7,1621,35,5/24/2021,10/14/2020
In Transit,Truck,Envelope,National,Paid,1590,9.1,926.91,2136,682,7/13/2022,7/15/2022
Out for Delivery,Truck,Envelope,International,Paid,8528,2.8,242.24,2338,806,9/28/2020,4/22/2020
Out for Delivery,Truck,Pallet,National,Overdue,5664,20.9,233.25,1243,86,10/16/2020,6/4/2021
Delayed,Truck,Box,International,Paid,4190,12.8,556.91,639,395,6/7/2022,10/25/2020
In Transit,Ship,Envelope,International,Paid,4308,99.7,187.36,4860,483,4/17/2020,11/15/2020
Out for Delivery,Truck,Crate,International,Paid,9952,14.8,361.93,1885,863,5/13/2021,12/25/2022
Out for Delivery,Airplane,Envelope,National,Pending,2864,97.6,843.64,1094,2,6/4/2022,8/26/2022
Delayed,Train,Envelope,Local,Overdue,5574,28.7,627.9,1831,352,8/16/2022,8/27/2020
Delivered,Ship,Envelope,International,Pending,1760,18.6,860.48,175,716,9/30/2022,4/2/2020
Delivered,Ship,Envelope,International,Pending,2431,11.2,108.38,674,154,8/18/2020,1/25/2020
Out for Delivery,Truck,Pallet,Local,Overdue,8240,2.0,531.84,15,824,4/1/2020,5/5/2022
Delivered,Airplane,Envelope,Local,Overdue,5646,39.9,978.03,2508,582,6/28/2022,7/18/2021
In Transit,Ship,Box,National,Paid,9801,4.8,67.16,2232,890,2/22/2022,10/24/2021
Delivered,Ship,Pallet,National,Paid,5586,39.4,530.49,2542,466,2/25/2020,5/28/2022
Delayed,Airplane,Crate,Local,Paid,3525,82.5,557.95,1877,291,10/13/2020,4/17/2020
In Transit,Ship,Pallet,International,Paid,4362,4.4,892.41,4294,530,9/22/2021,6/3/2021
In Transit,Truck,Envelope,National,Paid,4212,19.8,544.59,1419,614,6/12/2020,2/12/2022
Delivered,Truck,Box,Local,Pending,1022,14.7,322.06,1613,504,5/13/2021,4/11/2022
Delivered,Airplane,Pallet,International,Paid,1196,0.3,807.27,1459,505,6/4/2020,1/19/2022
Delayed,Airplane,Pallet,National,Overdue,7826,60.3,150.42,3491,631,10/29/2020,12/2/2022
Delivered,Truck,Box,International,Paid,8055,0.6,9.77,140,489,11/15/2022,6/4/2022
Delayed,Airplane,Envelope,Local,Overdue,9459,95.5,143.34,4077,989,2/14/2021,9/23/2021
Delivered,Truck,Pallet,National,Overdue,4195,75.1,183.52,2006,964,7/2/2020,4/21/2020
Delivered,Train,Envelope,International,Overdue,2125,0.5,126.44,2651,74,8/7/2021,12/10/2021
Delivered,Ship,Box,Local,Pending,1360,13.8,898.2,3142,35,8/10/2022,8/25/2022
Delayed,Train,Crate,Local,Paid,9313,21.8,308.99,2863,700,8/1/2022,1/21/2022
Delayed,Airplane,Box,National,Paid,3902,73.3,118.1,477,140,4/21/2020,3/19/2020
Out for Delivery,Airplane,Pallet,National,Pending,6623,59.4,51.47,3689,252,1/8/2022,9/28/2021
Delayed,Ship,Box,Local,Paid,9549,88.1,139.79,4153,29,5/26/2022,6/20/2021
Delivered,Truck,Box,Local,Paid,1592,53.9,923.68,3792,13,5/3/2021,11/26/2022
Out for Delivery,Airplane,Envelope,Local,Paid,6083,3.1,817.17,434,950,2/5/2021,6/26/2021
Delayed,Truck,Crate,National,Pending,6854,24.1,161.94,379,31,11/24/2020,2/7/2021
Delivered,Truck,Box,Local,Pending,8307,75.2,577.49,1911,395,3/20/2021,3/19/2020
In Transit,Airplane,Crate,International,Overdue,6012,45.4,498.0,4051,767,12/12/2020,7/21/2021
Delayed,Truck,Box,International,Paid,4168,15.5,894.16,4332,305,1/25/2020,12/24/2020
Out for Delivery,Truck,Crate,National,Overdue,3209,2.8,866.77,691,778,8/16/2020,12/18/2020
Delayed,Airplane,Crate,Local,Pending,3345,25.2,349.56,3737,480,5/29/2020,12/6/2022
In Transit,Train,Crate,International,Paid,3235,12.1,315.31,3459,934,2/15/2020,6/24/2021
In Transit,Train,Envelope,Local,Paid,6138,27.2,261.29,3776,707,9/8/2021,11/11/2021
Delayed,Airplane,Box,International,Overdue,7228,25.7,21.69,3609,224,3/26/2020,10/2/2021
Delayed,Ship,Envelope,International,Paid,7440,90.8,736.39,322,268,9/1/2020,2/8/2021
Delivered,Truck,Box,Local,Overdue,9370,83.5,660.34,91,627,2/24/2022,2/17/2022
Delivered,Ship,Envelope,Local,Paid,7576,69.2,704.08,4739,114,6/8/2021,1/9/2021
Out for Delivery,Ship,Pallet,Local,Pending,8061,92.9,830.13,1311,989,8/30/2022,1/8/2021
In Transit,Truck,Pallet,International,Paid,4099,39.9,304.15,4745,323,6/30/2021,10/28/2021
In Transit,Airplane,Envelope,Local,Pending,2180,27.7,173.13,3645,383,6/11/2021,7/6/2020
Delivered,Airplane,Envelope,Local,Overdue,4695,70.2,677.62,2221,11,12/20/2021,4/29/2022
Delivered,Ship,Crate,Local,Overdue,1175,67.7,411.97,3016,534,9/14/2021,10/26/2020
In Transit,Airplane,Pallet,International,Paid,2288,60.3,30.05,2351,378,9/14/2022,9/8/2020
Delivered,Train,Box,National,Paid,9614,27.5,393.64,2826,107,8/17/2021,5/3/2020
Delivered,Train,Box,International,Paid,9686,77.1,689.2,296,991,2/2/2021,3/5/2020
Delivered,Ship,Box,Local,Pending,2556,68.3,374.94,3688,861,11/8/2020,3/31/2022
Delayed,Train,Box,Local,Pending,6079,36.9,697.74,3573,687,10/30/2021,1/29/2022
In Transit,Airplane,Box,Local,Pending,9864,1.2,49.68,2406,865,9/16/2022,8/22/2021
Delayed,Truck,Pallet,National,Pending,1580,29.4,574.45,927,562,8/29/2022,6/7/2022
Out for Delivery,Airplane,Box,International,Paid,5882,23.1,295.19,4111,209,12/13/2020,10/28/2020
Delayed,Airplane,Box,International,Overdue,1425,29.4,221.49,463,837,6/10/2021,7/29/2022
In Transit,Train,Pallet,International,Paid,4584,18.9,804.24,4251,784,6/5/2020,3/27/2020
Delivered,Ship,Pallet,International,Pending,7179,13.5,993.67,2673,167,12/11/2022,10/12/2020
Out for Delivery,Ship,Box,Local,Pending,7363,39.7,451.11,4160,160,1/25/2020,2/15/2021
Out for Delivery,Airplane,Box,International,Paid,2636,9.4,342.21,3243,796,10/23/2020,2/4/2022
In Transit,Train,Crate,Local,Paid,1761,52.3,547.17,3344,982,7/21/2022,5/1/2021
Out for Delivery,Airplane,Crate,National,Paid,4568,54.0,11.45,4030,71,9/8/2021,3/26/2022
Delivered,Ship,Crate,National,Paid,6904,7.1,810.55,2975,924,2/6/2021,7/10/2021
Delivered,Ship,Crate,International,Paid,7613,44.9,445.24,4739,754,11/11/2020,4/7/2020
Delivered,Truck,Envelope,International,Paid,7841,47.0,672.14,928,596,7/29/2022,4/17/2020
Delayed,Truck,Envelope,National,Overdue,1799,80.6,212.63,2126,224,3/8/2021,10/29/2022
Delayed,Airplane,Crate,National,Pending,2839,28.2,887.32,3050,444,12/24/2022,7/15/2021
Delivered,Airplane,Pallet,Local,Pending,1547,11.0,645.46,3283,860,12/25/2020,4/23/2021
Out for Delivery,Airplane,Box,National,Pending,6224,69.5,817.01,4478,489,2/14/2020,5/19/2020
Delivered,Airplane,Pallet,International,Overdue,4695,71.4,282.37,29,402,2/12/2020,10/9/2022
In Transit,Truck,Envelope,Local,Overdue,6843,97.0,130.38,1017,428,9/19/2022,4/27/2022
Delivered,Airplane,Box,Local,Pending,5394,95.3,580.7,3088,417,11/14/2020,10/26/2022
Out for Delivery,Truck,Box,International,Pending,5236,93.5,789.04,208,15,10/18/2021,5/14/2022
Delivered,Train,Pallet,International,Paid,6213,32.3,400.18,1337,322,11/27/2021,8/22/2021
Delivered,Ship,Crate,National,Paid,7831,10.1,600.71,3281,24,2/19/2021,11/10/2021
Out for Delivery,Airplane,Envelope,International,Overdue,3700,60.4,43.52,4693,302,12/7/2020,2/21/2020
In Transit,Truck,Box,National,Paid,2538,74.8,366.88,4102,17,10/6/2021,3/4/2020
In Transit,Airplane,Pallet,National,Pending,1183,6.6,353.71,1826,164,11/24/2022,11/3/2020
Out for Delivery,Train,Envelope,National,Overdue,1305,70.2,257.7,4859,837,7/19/2021,8/30/2020
Out for Delivery,Train,Pallet,Local,Overdue,3435,85.3,385.42,2828,359,4/29/2020,9/14/2020
In Transit,Airplane,Pallet,Local,Pending,2880,29.2,48.45,1203,224,1/25/2022,2/11/2021
Out for Delivery,Airplane,Box,Local,Pending,8233,66.8,942.12,4559,912,6/26/2022,9/17/2022
In Transit,Truck,Pallet,Local,Paid,8685,86.5,241.04,226,269,1/23/2022,2/5/2021
Delivered,Train,Box,National,Pending,2439,78.8,944.55,4624,168,8/31/2020,2/17/2020
Out for Delivery,Train,Crate,Local,Overdue,2190,38.1,389.77,778,388,6/13/2021,3/13/2021
In Transit,Train,Box,International,Overdue,9114,81.7,466.51,3582,503,5/16/2022,11/11/2020
Delivered,Truck,Box,Local,Overdue,2479,8.5,950.81,1430,305,11/12/2020,6/23/2020
Delivered,Ship,Envelope,International,Paid,5214,11.9,978.98,2277,512,1/26/2021,5/11/2020
Delayed,Train,Crate,International,Overdue,1074,76.2,10.21,1942,689,8/15/2020,9/2/2021
In Transit,Train,Pallet,National,Overdue,3425,3.6,401.89,2517,288,3/30/2020,4/16/2020
In Transit,Airplane,Box,National,Paid,6222,62.0,818.61,4413,355,12/1/2021,9/23/2022
Delayed,Ship,Box,Local,Pending,8310,88.7,173.66,2939,381,1/7/2021,2/8/2022
Out for Delivery,Train,Envelope,International,Overdue,3636,12.8,833.01,833,931,8/27/2020,7/2/2022
In Transit,Airplane,Box,Local,Overdue,3902,38.4,224.91,277,888,8/19/2020,2/29/2020
Delayed,Airplane,Pallet,International,Paid,6859,47.8,351.73,4127,762,3/16/2020,11/18/2020
In Transit,Ship,Box,International,Paid,3103,74.2,151.99,1787,62,5/25/2020,7/18/2022
Delayed,Train,Box,National,Paid,6994,91.5,73.65,4597,566,4/7/2021,6/21/2020
Out for Delivery,Airplane,Pallet,Local,Pending,2345,80.0,743.01,4854,126,8/18/2021,10/23/2020
Delayed,Train,Pallet,International,Overdue,7229,90.1,980.63,3664,404,2/8/2020,3/1/2022
Delayed,Truck,Envelope,International,Overdue,3417,3.2,624.71,2365,664,6/1/2022,4/9/2022
In Transit,Airplane,Pallet,National,Overdue,4393,38.3,552.6,4979,958,5/24/2020,12/7/2020
Delivered,Airplane,Pallet,National,Overdue,1224,35.0,388.47,3409,89,1/22/2022,4/29/2021
Out for Delivery,Airplane,Envelope,International,Paid,2202,23.7,955.56,1991,162,9/26/2020,3/18/2021
Out for Delivery,Truck,Envelope,International,Paid,8561,95.4,324.09,3933,300,10/30/2020,7/24/2021
In Transit,Airplane,Envelope,National,Pending,7968,83.8,956.36,1760,646,5/28/2020,4/3/2021
In Transit,Ship,Box,National,Pending,7742,73.2,297.25,4378,306,6/27/2021,9/9/2021
In Transit,Truck,Envelope,National,Overdue,4115,78.9,155.09,2273,767,7/30/2022,1/23/2022
In Transit,Ship,Envelope,National,Overdue,1805,33.6,784.3,502,867,10/19/2020,2/18/2020
Out for Delivery,Truck,Pallet,Local,Paid,5059,62.3,105.46,1977,906,6/18/2022,8/14/2022
In Transit,Ship,Pallet,National,Overdue,8771,81.6,426.13,4159,682,5/24/2020,5/17/2020
Delivered,Train,Envelope,National,Pending,4953,65.4,524.5,1499,738,11/4/2021,11/2/2021
Delayed,Ship,Envelope,Local,Overdue,4818,38.8,734.47,1841,836,8/10/2022,2/26/2022
In Transit,Train,Pallet,International,Paid,1459,33.4,864.51,3895,590,1/8/2022,12/29/2020
In Transit,Train,Box,Local,Overdue,8272,39.5,226.95,3694,38,2/15/2021,3/22/2021
Out for Delivery,Train,Pallet,National,Pending,6631,82.7,266.55,1170,551,10/28/2020,1/17/2020
Delayed,Truck,Pallet,National,Paid,8921,49.0,134.49,2872,167,3/14/2022,9/4/2021
Delivered,Train,Crate,National,Overdue,6981,5.5,837.99,4654,845,11/19/2021,8/19/2022
In Transit,Airplane,Crate,Local,Pending,3522,80.8,461.96,70,952,8/14/2021,3/19/2022
Delivered,Train,Envelope,National,Paid,7539,0.3,641.59,4465,266,1/4/2020,8/30/2022
Out for Delivery,Train,Envelope,Local,Paid,8127,24.2,526.19,4419,362,5/2/2020,7/5/2022
In Transit,Train,Envelope,Local,Paid,4725,98.8,720.58,2185,800,7/23/2022,1/14/2022
In Transit,Truck,Box,Local,Overdue,2311,30.2,25.31,1594,162,8/21/2022,10/30/2022
In Transit,Airplane,Pallet,International,Overdue,7017,48.6,753.55,4668,304,3/10/2020,3/23/2020
In Transit,Airplane,Envelope,National,Paid,2526,18.0,949.5,1718,168,6/24/2021,2/19/2022
